,dialog,cleaned_dialog
1299,okay no warehouse store but we re still on for putt putt golf right,okay warehouse store still putt putt golf right
1300,font color e ce door opens font,e ce door opens
1301,hey i just ran into penny she seemed upset about something,hey ran penny seemed upset something
1302,i think it s her time of the month,think time month
1303,i marked the calendar for future reference,marked calendar future reference
1304,what s with the fish,fish
1305,it s an experiment,experiment
1306,what happened to your egg research oh that was a dead end,happened egg research oh dead end
1307,scrambled eggs are as good as they re ever going to be,scrambled eggs good ever going
1308,so fish,fish
1309,i read an article about scientists who inserted dna from luminous jellyfish,read article scientists inserted dna luminous jellyfish
1310,into other animals and i thought hey fish nightlights,animals thought hey fish nightlights
1311,fish nightlights,fish nightlights
1312,it s a billion dollar idea shhh,billion dollar idea shhh
1313,mum s the word,mum word
1314,are you sure you don t wanna just apologize to gablehauser and get your job back,sure wanna apologize gablehauser get job back
1315,oh no no no no i have too much to do,oh much
1316,like luminous fish,like luminous fish
1317,shhh i m sorry i didn t,shhh sorry
1318,that s just the beginning,beginning
1319,i also have an idea for a bulk mail order feminine hygiene company,also idea bulk mail order feminine hygiene company
1320,oh glow in the dark tampons,oh glow dark tampons
1321,leonard we re gonna be rich,leonard gonna rich
1322,thanks for coming on such short notice you did the right thing calling,thanks coming short notice right thing calling
1323,i didn t know what to do he s lost all focus,know lost focus
1324,every day he s got a new obsession,every day got new obsession
1325,this is a particularly disturbing one,particularly disturbing one
1326,mommy,mommy
1327,hi baby,hi baby
1328,font color e ce mouthing font you called my mother,e ce mouthing called mother
1329,oh you got yourself a loom how nice,oh got loom nice
1330,thank you honey why did you get a loom,thank honey get loom
1331,i was working with luminous fish and i thought hey,working luminous fish thought hey
1332,loom,loom
1333,mom what are you doing here,mom
1334,leonard called me,leonard called
1335,i know but why,know
1336,because one of the great minds of the st century,one great minds st century
1337,is raising glow in the dark fish and weaving serapes,raising glow dark fish weaving serapes
1338,this is not a serape this is a poncho,serape poncho
1339,a serape is open at the sides a poncho is closed this is a poncho,serape open sides poncho closed poncho
1340,and neither is a reason to call someone s mother,neither reason call someone mother
1341,really when was the last time you left the house,really last time left house
1342,i went to the market with penny,went market penny
1343,yeah that was three weeks ago,yeah three weeks ago
1344,well then buckle up,well buckle
1345,in the next four to eight days she s going to get very crabby,next four eight days going get crabby
1346,sweetheart your little friend is concerned about you,sweetheart little friend concerned
1347,yes well i m not a child,yes well child
1348,i m a grown man capable of living my life as i see fit,grown man capable living life see fit
1349,and i certainly don t need someone telling on me to my mother,certainly need someone telling mother
1350,wait where are you going,wait going
1351,to my room and no one s allowed in,room one allowed
1352,font color e ce door slams font,e ce door slams
1353,he gets his temper from his daddy ah,gets temper daddy ah
1354,he s got my eyes i see,got eyes see
1355,all that science stuff that comes from jesus,science stuff comes jesus
1356,sheldon your mom made dinner,sheldon mom made dinner
1357,font color sheldon font i m not hungry,sheldon hungry
1358,oh leonard don t trouble yourself he s stubborn,oh leonard trouble stubborn
1359,he may stay in there till the rapture,may stay till rapture
1360,are we so sure that s a bad thing,sure bad thing
1361,i love the boy to death,love boy death
1362,but he has been difficult since he fell out of me at the kmart,difficult since fell kmart
1363,excuse me for being so bold,excuse bold
1364,but i now see where sheldon gets his smoldering good looks,see sheldon gets smoldering good looks
1365,oh honey that ain t gonna work but you keep trying,oh honey gonna work keep trying
1366,i made chicken,made chicken
1367,i hope that isn t one of the animals that you people think is magic,hope one animals people think magic
1368,you know we have an indian gentleman at our church,know indian gentleman church
1369,a dr patel it s a beautiful story,dr patel beautiful story
1370,the lord spoke to him and moved him to give us all percent off on lasek,lord spoke moved give us percent lasek
1371,you know those that needed it,know needed
1372,that is a lovely story,lovely story
1373,are we gonna do anything about sheldon,gonna anything sheldon
1374,oh we will you have to take your time with sheldon,oh take time sheldon
1375,his father god rest his soul used to say,father god rest soul used say
1376,mary you have to take your time with sheldon,mary take time sheldon
1377,sounds like a wise man oh not so wise,sounds like wise man oh wise
1378,he once tried to fight a bobcat for some licorice,tried fight bobcat licorice
1379,so everybody grab a plate and a pretty placemat that shelly wove,everybody grab plate pretty placemat shelly wove
1380,has shelly ever freaked out like this before,shelly ever freaked like
1381,oh all the time,oh time
1382,i remember one summer when he was,remember one summer
1383,he built a small nuclear reactor in the shed,built small nuclear reactor shed
1384,and told everybody he was gonna provide electricity for the town,told everybody gonna provide electricity town
1385,well the only problem was he had no what you call fissionable materials,well problem call fissionable materials
1386,anyway when he went on the internet to get some,anyway went internet get
1387,a man from the government came by and sat him down real gentle,man government came sat real gentle
1388,and told him it s against the law to have yellow cake uranium in a shed,told law yellow cake uranium shed
1389,well what happened well poor boy had a fit,well happened well poor boy fit
1390,locked himself in his room and built a sonic death ray,locked room built sonic death ray
1391,a death ray well that s what he called it,death ray well called
1392,didn t even slow down the neighbor kids heh,even slow neighbor kids heh
1393,it pissed our dog off to no end,pissed dog end
1394,you know you two make a cute couple,know two make cute couple
1395,font color e ce both laugh font,e ce laugh
1396,i no no no we re not a couple we re singles,couple singles
1397,two singles like those individually wrapped slices of cheese that,two singles like individually wrapped slices cheese
1398,or friends,friends
1399,did i pluck a nerve there oh yeah,pluck nerve oh yeah
1400,okay all right everybody it s time to eat,okay right everybody time eat
1401,oh lord we thank you for this meal and for all your bounty,oh lord thank meal bounty
1402,and we pray that you help sheldon get back on his rocker,pray help sheldon get back rocker
1403,now after a moment of silent meditation i m gonna end with in jesus name,moment silent meditation gonna end jesus name
1404,but you two don t feel any obligation to join in,two feel obligation join
1405,unless of course the holy spirit moves you,unless course holy spirit moves
1406,oh my god this is the best cobbler i ve ever had,oh god best cobbler ever
1407,it was always sheldon s favorite you know what the secret ingredient is,always sheldon favorite know secret ingredient
1408,love lard,love lard
1409,hey look who s com shh you ll spook him,hey look com shh spook
1410,he s like a baby deer you gotta let him come to you,like baby deer gotta let come
1411,this is ridiculous,ridiculous
1412,damn it sheldon snap out of it,damn sheldon snap
1413,you re a physicist you belong at the university doing research not in your room,physicist belong university research room
1414,font color e ce door slams font,e ce door slams
1415,you don t hunt do you,hunt
1416,font color e ce knock on door font,e ce knock door
1417,good morning snickerdoodle,good morning snickerdoodle
1418,morning oh,morning oh
1419,well that looks awful fancy what is that,well looks awful fancy
1420,it s my idea of what dna would look like in a silicon based life form,idea dna would look like silicon based life form
1421,but intelligently designed by a creator right,intelligently designed creator right
1422,what do you want mom,want mom
1423,you know how your daddy used to say that you can only fish for so long,know daddy used say fish long
1424,before you gotta throw a stick of dynamite in the water,gotta throw stick dynamite water
1425,yeah well i m done fishing,yeah well done fishing
1426,you put those on what for,put
1427,because you re gonna go to your office,gonna go office
1428,apologize to your boss and get your job back,apologize boss get job back
1429,no i m sorry,sorry
1430,did i start that sentence with the words if it please your highness,start sentence words please highness
1431,i m not going to i didn t say anything that wasn t true,going say anything true
1432,now you listen here,listen
1433,i have been telling you since you were,telling since
1434,it s okay to be smarter than everybody but you can t go around pointing it out,okay smarter everybody go around pointing
1435,why not because people don t like it,people like
1436,remember all the ass kickings from the neighbor kids,remember ass kickings neighbor kids
1437,now let s get cracking,let get cracking
1438,shower shirt shoes and let s shove off,shower shirt shoes let shove
1439,wouldn t have been any ass kickings if that stupid death ray had worked,ass kickings stupid death ray worked
1440,problem solved,problem solved
1441,really that s impressive,really impressive
1442,leonard the lord never gives us more than we can handle,leonard lord never gives us handle
1443,thankfully he blessed me with two other children,thankfully blessed two children
1444,who are dumb as soup,dumb soup
1445,excuse me dr gablehauser are you busy,excuse dr gablehauser busy
1446,well actually sheldon he s just doodling get in here,well actually sheldon doodling get
1447,dr gablehauser dr cooper,dr gablehauser dr cooper
1448,let s go baby we re losing daylight,let go baby losing daylight
1449,um,um
1450,as you know several weeks ago in our first encounter,know several weeks ago first encounter
1451,we may have gotten off on the wrong foot,may gotten wrong foot
1452,when i called you an idiot,called idiot
1453,and i just wanted to say that i was wrong,wanted say wrong
1454,to point it out,point
1455,i m sorry we haven t been introduced,sorry introduced
1456,dr eric gablehauser mary cooper sheldon s mom,dr eric gablehauser mary cooper sheldon mom
1457,now that s impossible you must ve had him when you were a teenager,impossible must teenager
1458,oh aren t you sweet his father s dead,oh sweet father dead
1459,recently long enough,recently long enough
1460,please,please
1461,sheldon shouldn t you be working,sheldon working
1462,okay,okay
1463,hey how did it go,hey go
1464,i got my job back,got job back
1465,really what happened,really happened
1466,i m not quite sure,quite sure
1467,it involves a part of the human experience that has always eluded me,involves part human experience always eluded
1468,well that narrows it down,well narrows
1469,i m very proud of you honey you showed a lot of courage today,proud honey showed lot courage today
1470,thanks mom,thanks mom
1471,mom mm hm,mom mm hm
1472,is dr gablehauser going to be my new daddy,dr gablehauser going new daddy
1473,we ll see sleep tight,see sleep tight
1474,all right i m moving my infantry division,right moving infantry division
1475,augmented by a battalion of orcs from lord of the rings,augmented battalion orcs lord rings
1476,we flank the tennessee volunteers,flank tennessee volunteers
1477,and the north once again wins the battle of gettysburg,north wins battle gettysburg
1478,not so fast remember the south still has two infantry divisions,fast remember south still two infantry divisions
1479,plus superman and godzilla,plus superman godzilla
1480,no no no orcs are magic,orcs magic
1481,superman is vulnerable to magic,superman vulnerable magic
1482,not to mention you already lost godzilla,mention already lost godzilla
1483,to the illinois cavalry and hulk,illinois cavalry hulk
1484,why don t you just have robert e lee charge the line with shiva and ganesh,robert e lee charge line shiva ganesh
1485,you guys ready to order hang on,guys ready order hang
1486,shiva and ganesh,shiva ganesh
1487,the hindu gods against the entire union army,hindu gods entire union army
1488,and orcs,orcs
1489,i ll be back,back
1490,excuse me ganesh is the remover of obstacles and shiva s the destroyer,excuse ganesh remover obstacles shiva destroyer
1491,when the smoke clears lincoln will be speaking hindi,smoke clears lincoln speaking hindi
1492,and drinking mint juleps,drinking mint juleps
1493,my boss says you have to either order or leave and never come back,boss says either order leave never come back
1494,what do you recommend for someone with a man sized appetite,recommend someone man sized appetite
1495,from a morning of weight training and cardio funk,morning weight training cardio funk
1496,a shower,shower
1497,i ll take the heart smart platter,take heart smart platter
1498,all right thank you and sheldon,right thank sheldon
1499,we don t eat here i don t know what s good,eat know good
1500,well it s all good statistically unlikely,well good statistically unlikely
1501,just get a hamburger you like hamburgers,get hamburger like hamburgers
1502,i like the hamburgers where we usually eat,like hamburgers usually eat
1503,you can t make the assumption that i ll like the hamburgers here,make assumption like hamburgers
1504,i m sorry give him a hamburger,sorry give hamburger
1505,which one the classic the ranch house,one classic ranch house
1506,the barbeque burger or the kobe burger,barbeque burger kobe burger
1507,can t we just go to big boy,go big boy
1508,they only have one burger the big boy the barbeque burger s like the big boy,one burger big boy barbeque burger like big boy
1509,in a world that already includes a big boy,world already includes big boy
1510,why would i settle for something like a big boy,would settle something like big boy
1511,because you are not at big boy,big boy
1512,fine i ll have the barbeque burger make it two,fine barbeque burger make two
1513,waitresses don t yell at you at big boy,waitresses yell big boy
1514,hey leonard hi guys,hey leonard hi guys
1515,hey hey leslie,hey hey leslie
1516,i didn t know you ate here we don t this is a disturbing aberration,know ate disturbing aberration
1517,leslie this is penny she lives across the hall from sheldon and me,leslie penny lives across hall sheldon
1518,and walks in quiet beauty like the night,walks quiet beauty like night
1519,howard i ve asked you not to do that,howard asked
1520,leslie and i do research together at the university,leslie research together university
1521,oh wow a girl scientist,oh wow girl scientist
1522,yep come for the breasts stay for the brains,yep come breasts stay brains
1523,so i m glad i ran into you,glad ran
1524,the physics department string quartet needs a new cellist,physics department string quartet needs new cellist
1525,what happened to elliott wong,happened elliott wong
1526,switched over to high energy radiation research had a mishap,switched high energy radiation research mishap
1527,and now the other guys are uncomfortable sitting next to him,guys uncomfortable sitting next
1528,so are you in yeah sure why not,yeah sure
1529,we rehearse on tuesdays at your place why at my place,rehearse tuesdays place place
1530,yeah department of energy said our regular space is kind of a hot zone,yeah department energy said regular space kind hot zone
1531,nice meeting you yeah you too,nice meeting yeah
1532,leonard i didn t know you played the cello,leonard know played cello
1533,yeah my parents felt that naming me leonard,yeah parents felt naming leonard
1534,and putting me in advanced placement classes,putting advanced placement classes
1535,wasn t getting me beaten up enough,getting beaten enough
1536,if you re into music i happen to be a human beatbox,music happen human beatbox
1537,so really,really
1538,font color e ce beatboxing font,e ce beatboxing
1539,i m actually not that into music,actually music
1540,your friend s really cute anything going on with you two,friend really cute anything going two
1541,leslie,leslie
1542,no no what are you kidding,kidding
1543,he asked her out once it was an embarrassing failure,asked embarrassing failure
1544,thank you sheldon,thank sheldon
1545,i m sorry was that supposed to be a secret,sorry supposed secret
1546,that s too bad you guys would make a cute couple,bad guys would make cute couple
1547,oh dear what s the matter,oh dear matter
1548,she didn t take my order,take order
1549,how could she take your order when you re too neurotic to talk to her,could take order neurotic talk
1550,nevertheless this will be reflected in her tip,nevertheless reflected tip
1551,font color leonard font what did penny mean you d make a cute couple,leonard penny mean make cute couple
1552,i assume she meant the two of you,assume meant two
1553,would constitute a couple that others might consider cute,would constitute couple others might consider cute
1554,an alternate and less likely interpretation is that you could manufacture one,alternate less likely interpretation could manufacture one
1555,as in look leonard and leslie made mr and mrs goldfarb,look leonard leslie made mr mrs goldfarb
1556,aren t they adorable,adorable
1557,if penny didn t know that leslie had turned me down,penny know leslie turned
1558,then that would mean that she penny thought i should ask her leslie out,would mean penny thought ask leslie
1559,indicating that penny had no interest in me asking her out,indicating penny interest asking
1560,but because she did know i had asked leslie out,know asked leslie
1561,and that she leslie had turned me down,leslie turned
1562,then she penny could be offering consolation,penny could offering consolation
1563,that s too bad you would have made a cute couple,bad would made cute couple
1564,but while thinking good leonard remains available,thinking good leonard remains available
1565,you re a lucky man leonard,lucky man leonard
1566,how so,
1567,you re talking to one of the three men in the west,talking one three men west
1568,capable of following that train of thought,capable following train thought
1569,well what do you think,well think
1570,i said i could follow it i didn t say i cared,said could follow say cared
1571,font color e ce playing classical music font,e ce playing classical music
1572,i admire your fingering,admire fingering
1573,thank you,thank
1574,maybe sometime you can try that on my instrument,maybe sometime try instrument
1575,font color leslie font good night guys good job thanks,leslie good night guys good job thanks
1576,see you next week,see next week
1577,that was fun thanks for including me you re welcome,fun thanks including welcome
1578,if you re up for it we could practice that middle section again,could practice middle section
1579,sure why not,sure
1580,font color e ce starts playing font,e ce starts playing
1581,just so we re clear you understand me hanging back to practice with you,clear understand hanging back practice
1582,is a pretext for letting you know that i m sexually available,pretext letting know sexually available
1583,font color e ce clattering font,e ce clattering
1584,really,really
1585,yeah i m good to go,yeah good go
1586,i thought you weren t interested in me,thought interested
1587,that was before i saw you handling that beautiful piece of wood between your legs,saw handling beautiful piece wood legs
1588,you mean my cello,mean cello
1589,no i mean the obvious crude double entendre,mean obvious crude double entendre
1590,i m seducing you,seducing
1591,no kidding,kidding
1592,what can i say i m a passionate and impulsive woman,say passionate impulsive woman
1593,so how about it,
1594,gee,gee
1595,is it the waitress penny what about her,waitress penny
1596,i saw your pupils dilate when you looked at her,saw pupils dilate looked
1597,which unless you re a heroin addict points to sexual attraction,unless heroin addict points sexual attraction
1598,i did have a poppy seed bagel for breakfast,poppy seed bagel breakfast
1599,which could give a positive urine test for opiates,could give positive urine test opiates
1600,but certainly not dilate my pupils,certainly dilate pupils
1601,so i guess there was no point in bringing it up,guess point bringing
1602,you and the waitress then no no,waitress
1603,there s nothing going on between penny and me,nothing going penny
1604,so you re open to a sexual relationship,open sexual relationship
1605,yeah yeah i guess i am,yeah yeah guess
1606,good yeah it is,good yeah
1607,it is good,good
1608,did you wanna start now,wanna start
1609,why don t we finish this section first oh okay,finish section first oh okay
1610,a little musical foreplay terrific,little musical foreplay terrific
1611,font color e ce resumes playing font,e ce resumes playing
1612,font color e ce playing faster font,e ce playing faster
1613,i m good to go me too,good go
1614,oh hey sheldon what s going on,oh hey sheldon going
1615,i need your opinion on a matter of semiotics,need opinion matter semiotics
1616,i m sorry semiotics the study of signs and symbols,sorry semiotics study signs symbols
1617,it s a branch of philosophy related to linguistics,branch philosophy related linguistics
1618,okay sweetie i know you think you re explaining yourself,okay sweetie know think explaining
1619,but you re really not,really
1620,just come with me,come
1621,font color e ce on stereo font tell me have you ever really,e ce stereo tell ever really
1622,really really ever loved a woman,really really ever loved woman
1623,well,well
1624,well what what does it mean,well mean
1625,come on you went to college,come went college
1626,yes but i was,yes
1627,a tie on the doorknob usually means someone doesn t wanna be disturbed,tie doorknob usually means someone wanna disturbed
1628,because they re you know getting busy,know getting busy
1629,so you re saying leonard has a girl in there,saying leonard girl
1630,well either that or he s lost his tie rack and gotten really into bryan adams,well either lost tie rack gotten really bryan adams
1631,leslie font color e ce flatly font oh leonard you magnificent beast,leslie e ce flatly oh leonard magnificent beast
1632,we really shouldn t be standing here,really standing
1633,this is very awkward,awkward
1634,oh come on you know leonard s had girls over before right,oh come know leonard girls right
1635,oh yes but there s usually planning courtship advance notice,oh yes usually planning courtship advance notice
1636,you know last time i was able to book a cruise to the arctic to see a solar eclipse,know last time able book cruise arctic see solar eclipse
1637,wait wait you had to leave the state because your roommate was having sex,wait wait leave state roommate sex
1638,i didn t have to the dates just happened to coincide,dates happened coincide
1639,so do you know who s in there,know
1640,well there s leonard,well leonard
1641,and he s either with leslie winkle or a s gangster,either leslie winkle gangster
1642,hmm good for him,hmm good
1643,good for leonard,good leonard
1644,okay night,okay night
1645,no don t wait hold on,wait hold
1646,what s the matter i don t know what the protocol is here,matter know protocol
1647,do i stay do i leave,stay leave
1648,do i wait to greet them with a refreshing beverage,wait greet refreshing beverage
1649,gee sheldon you re asking the wrong girl,gee sheldon asking wrong girl
1650,i m usually on the other side of the tie,usually side tie
1651,font color e ce door closes font,e ce door closes
1652,font color e ce dialing font,e ce dialing
1653,hi leonard,hi leonard
1654,it s me,
1655,sheldon,sheldon
1656,in the living room,living room
1657,i just i wanted you to know i saw the tie,wanted know saw tie
1658,message received,message received
1659,you re welcome,welcome
1660,you carry on give my best to leslie,carry give best leslie
1661,big boy,big boy
1662,font color e ce exhales font,e ce exhales
1663,font color e ce clears throat font,e ce clears throat
1664,someone touched my board,someone touched board
1665,oh god my board,oh god board
1666,font color e ce panting font leonard,e ce panting leonard
1667,leonard,leonard
1668,hey what s the matter,hey matter
1669,equations someone s tampered with my equations,equations someone tampered equations
1670,are you sure of course,sure course
1671,look at the beta function of quantum chromodynamics,look beta function quantum chromodynamics
1672,the sign s been changed,sign changed
1673,oh yeah,oh yeah
1674,but doesn t that fix the problem you ve been having,fix problem
1675,are you insane are you out of your mind,insane mind
1676,are you hey look that fixes the problem i ve been having,hey look fixes problem
1677,you re welcome,welcome
1678,you did this,
1679,yeah i noticed it when i got up to get water so i fixed it,yeah noticed got get water fixed
1680,now you can show quarks are asymptotically free at high energies,show quarks asymptotically free high energies
1681,pretty cool huh,pretty cool huh
1682,cool,cool
1683,listen i gotta get to the lab,listen gotta get lab
1684,thanks for a great night,thanks great night
1685,thank you i ll see you at work,thank see work
1686,hold on hold on what,hold hold
1687,who told you you could touch my board no one,told could touch board one
1688,i don t come into your house and touch your board,come house touch board
1689,there are no incorrect equations on my board,incorrect equations board
1690,oh that is so so,oh
1691,i m sorry i gotta run if you come up with an adjective text me,sorry gotta run come adjective text
1692,font color e ce door closes font,e ce door closes
1693,inconsiderate that is the adjective inconsiderate,inconsiderate adjective inconsiderate
1694,you can stare at your board all day she s still going to be right,stare board day still going right
1695,font color sheldon font i m not staring i m mulling,sheldon staring mulling
1696,oh hey leonard hi,oh hey leonard hi
1697,font color e ce teasing font so how s it going,e ce teasing going
1698,font color e ce imitates penny font pretty good,e ce imitates penny pretty good
1699,just pretty good i d think you were doing very good,pretty good think good
1700,pretty very there s really no objective scale for delineating variations of good,pretty really objective scale delineating variations good
1701,why do you ask,ask
1702,well a little bird told me that you and leslie hooked up last night,well little bird told leslie hooked last night
1703,sheldon font color sheldon font i m coming,sheldon sheldon coming
1704,so is it serious do you like her,serious like
1705,i don t,
1706,that s really two different questions i m not,really two different questions
1707,sheldon we have to go,sheldon go
1708,boy you re wound awfully tight for a man who just had sexual intercourse,boy wound awfully tight man sexual intercourse
1709,all right well i ll talk to you later but i am so happy for you leonard,right well talk later happy leonard
1710,thank you,thank
1711,font color e ce door closes font,e ce door closes
1712,what did she mean she s happy for me,mean happy
1713,is she happy because i m seeing someone or because she thinks i m happy,happy seeing someone thinks happy
1714,because anyone who cared for someone would want them to be happy,anyone cared someone would want happy
1715,even if the reason for their happiness made the first person unhappy,even reason happiness made first person unhappy
1716,you know because the second person though happy,know second person though happy
1717,is now romantically unavailable to the first person,romantically unavailable first person
1718,do you realize i may have to share a nobel prize with your booty call,realize may share nobel prize booty call
1719,you know what,know
1720,i m being ridiculous,ridiculous
1721,but who cares what penny thinks,cares penny thinks
1722,leslie is a terrific girl she s attractive we like each other,leslie terrific girl attractive like
1723,she s extremely intelligent,extremely intelligent
1724,font color sheldon font she s not that intelligent font color leonard font she fixed your equation,sheldon intelligent leonard fixed equation
1725,font color sheldon font she got lucky font color leonard font you don t believe in luck,sheldon got lucky leonard believe luck
1726,i don t have to believe in it for her to be lucky,believe lucky
1727,regardless i have a chance at a real relationship with leslie,regardless chance real relationship leslie
1728,i m not gonna pass that up for some hypothetical future happiness,gonna pass hypothetical future happiness
1729,with a woman who may or may not want me to be happy,woman may may want happy
1730,with the woman who is currently making me happy,woman currently making happy
1731,font color sheldon font leonard font color leonard font yeah,sheldon leonard leonard yeah
1732,font color sheldon font i still don t care,sheldon still care
1733,hey leslie,hey leslie
1734,careful leonard liquid nitrogen degrees below zero,careful leonard liquid nitrogen degrees zero
1735,brrrr heh,brrrr heh
1736,why are you smashing a flash frozen banana,smashing flash frozen banana
1737,because i got a bowl of cheerios and i couldn t find a knife,got bowl cheerios find knife
1738,so anyway hello,anyway hello
1739,what are you doing,
1740,just extending the intimacy,extending intimacy
1741,hey do you wanna slip over to the radiation lab,hey wanna slip radiation lab
1742,and share a decontamination shower,share decontamination shower
1743,okay what exactly do you think s going on between us,okay exactly think going us
1744,i m not sure but i think i m about to discover how the banana felt,sure think discover banana felt
1745,neither of us are neuroscientists but we both understand the biochemistry of sex,neither us neuroscientists understand biochemistry sex
1746,dopamine in our brains is released across synapses causing pleasure,dopamine brains released across synapses causing pleasure
1747,stick electrodes in a rat s brain give him an orgasm button,stick electrodes rat brain give orgasm button
1748,he ll push that thing until he starves to death,push thing starves death
1749,well who wouldn t heh,well heh
1750,the difference between us and the rat,difference us rat
1751,is you can t stick an electrode in our hypothalamus,stick electrode hypothalamus
1752,that s where you come in,come
1753,yeah well i m just glad to be a part of it heh,yeah well glad part heh
1754,so what happens now,happens
1755,well i don t know about your sex drive but i m probably good till new year s,well know sex drive probably good till new year
1756,oh,oh
1757,okay,okay
1758,thank you thank you,thank thank
1759,you wanna make plans for new year s please you re smothering me,wanna make plans new year please smothering
1760,i m sorry i m sorry,sorry sorry
1761,hey look it s dr stud,hey look dr stud
1762,doctor what,doctor
1763,the blogosphere is abuzzing with news of you and leslie,blogosphere abuzzing news leslie
1764,making the bang bang music,making bang bang music
1765,well how did it get on the internet i put it there,well get internet put
1766,well how did you know about it,well know
1767,a little bird told us,little bird told us
1768,apparently you are a magnificent beast,apparently magnificent beast
1769,well that part s true,well part true
1770,i think i may have misjudged this restaurant,think may misjudged restaurant
1771,no kidding i don t wanna go out on a limb,kidding wanna go limb
1772,but i think we may be looking at my new tuesday hamburger,think may looking new tuesday hamburger
1773,your old tuesday hamburger will be so brokenhearted,old tuesday hamburger brokenhearted
1774,way ahead of you,way ahead
1775,i was thinking of moving big boy to thursdays and just dropping souplantation,thinking moving big boy thursdays dropping souplantation
1776,really yeah,really yeah
1777,the name always confused me anyway souplantation,name always confused anyway souplantation
1778,you can t grow soup,grow soup
1779,so how s everything terrific,everything terrific
1780,you ll be happy to know i plan to come every tuesday for the foreseeable future,happy know plan come every tuesday foreseeable future
1781,really oh yay heh,really oh yay heh
1782,who do i speak to about permanently reserving this table,speak permanently reserving table
1783,i don t know a psychiatrist,know psychiatrist
1784,font color penny font so hey,penny hey
1785,how are things with you and leslie oh,things leslie oh
1786,to be honest i don t think it s going to work out,honest think going work
1787,oh that s too bad well hey don t worry,oh bad well hey worry
1788,i m sure there s someone out there who s just right for you,sure someone right
1789,well what did she mean by that,well mean
1790,was that just a generic platitude or was that a subtle bid for attention,generic platitude subtle bid attention
1791,you know why this hamburger surpasses the big boy,know hamburger surpasses big boy
1792,this is a single decker whereas the big boy is a double decker,single decker whereas big boy double decker
1793,this has a much more satisfying meat to bun to condiment ratio,much satisfying meat bun condiment ratio
1794,are you even listening to me of course i m listening,even listening course listening
1795,blah blah hopeless penny delusion blah blah blah,blah blah hopeless penny delusion blah blah blah
1796,okay then,okay
1797,you know you can grow the ingredients for soup,know grow ingredients soup
1798,okay if no one else will say it i will,okay one else say
1799,we really suck at paintball,really suck paintball
1800,font color howard font that was absolutely humiliating,howard absolutely humiliating
1801,font color leonard font oh come on some battles you win some battles you lose,leonard oh come battles win battles lose
1802,font color howard font yes but you don t have to lose to kyle bernstein s bar mitzvah party,howard yes lose kyle bernstein bar mitzvah party
1803,i think we have to acknowledge those were some fairly savage preadolescent jews,think acknowledge fairly savage preadolescent jews
1804,no we were annihilated by our own incompetence,annihilated incompetence
1805,and the inability of some people to follow the chain of command,inability people follow chain command
1806,sheldon let it go,sheldon let go
1807,no i wanna talk about the fact that wolowitz shot me in the back,wanna talk fact wolowitz shot back
1808,i shot you for a good reason you were leading us into disaster,shot good reason leading us disaster
1809,i was giving clear concise orders,giving clear concise orders
1810,you hid behind a tree yelling,hid behind tree yelling
1811,get the kid in the yarmulke get the kid in the yarmulke,get kid yarmulke get kid yarmulke
1812,oh hey guys oh hey penny,oh hey guys oh hey penny
1813,hello morning ma am,hello morning
1814,so how was paintball did you have fun,paintball fun
1815,sure if you consider being fragged by your own troops fun,sure consider fragged troops fun
1816,you clear a space on your calendar there will be an inquiry,clear space calendar inquiry
1817,okay um,okay um
1818,i m having a party on saturday so if you re around come by,party saturday around come
1819,a party yeah,party yeah
1820,a boy girl party,boy girl party
1821,there will be boys and there will be girls,boys girls
1822,and it is a party so,party
1823,just a bunch of my friends have some beer do a little dancing,bunch friends beer little dancing
1824,dancing yeah,dancing yeah
1825,i don t know penny thing is we re not,know penny thing
1826,we re really more of a no,really
1827,but thanks thanks for thinking of us,thanks thanks thinking us
1828,are you sure it s halloween,sure halloween
1829,a halloween party,halloween party
1830,as in costumes,costumes
1831,well yeah,well yeah
1832,is there a theme,theme
1833,um yeah halloween,um yeah halloween
1834,yes but are the costumes random or genre specific,yes costumes random genre specific
1835,as usual i m not following,usual following
1836,he s asking if we can come as anyone from science fiction,asking come anyone science fiction
1837,fantasy sure,fantasy sure
1838,comic books fine,comic books fine
1839,anime of course,anime course
1840,tv film d d manga greek roman norse gods,tv film manga greek roman norse gods
1841,anything you want,anything want
1842,okay any costume you want,okay costume want
1843,bye,bye
1844,gentlemen to the sewing machines,gentlemen sewing machines
1845,font color e ce knocking font,e ce knocking
1846,font color leonard font i ll get it,leonard get
1847,psshoo,psshoo
1848,oh no,oh
1849,font color sheldon font oh no,sheldon oh
1850,make way for the fastest man alive,make way fastest man alive
1851,oh no,oh
1852,see this is why i wanted to have a costume meeting,see wanted costume meeting
1853,we all have other costumes we can change,costumes change
1854,or we could walk right behind each other all night,could walk right behind night
1855,it ll look like one person going really fast,look like one person going really fast
1856,no no no,
1857,it s a boy girl party this flash runs solo,boy girl party flash runs solo
1858,okay how about this nobody gets to be the flash,okay nobody gets flash
1859,we all change agreed,change agreed
1860,font color all font agreed,agreed
1861,i call frodo,call frodo
1862,font color all font damn,damn
1863,hey,hey
1864,sorry i m late but my hammer got stuck in the door on the bus,sorry late hammer got stuck door bus
1865,you went with thor what,went thor
1866,just because i m indian i can t be a norse god,indian norse god
1867,no no no raj has to be an indian god,raj indian god
1868,that s racism,racism
